filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,策略评分
002779.SZ_中坚科技.csv,4,2.11%,75.00%,5.08%,-1.82%,1.881,1.411
002780.SZ_三夫户外.csv,6,3.84%,83.33%,16.75%,-5.28%,1.072,0.893
002782.SZ_可立克.csv,5,1.70%,60.00%,17.34%,-9.05%,1.101,0.661
002783.SZ_凯龙股份.csv,4,1.96%,50.00%,7.50%,-3.76%,2.235,1.118
002785.SZ_万里石.csv,3,24.07%,100.00%,38.40%,2.62%,0.241,0.241
002786.SZ_银宝山新.csv,5,-6.68%,0.00%,-0.67%,-13.43%,0.0,0.0
002787.SZ_华源控股.csv,6,9.20%,66.67%,29.26%,-4.42%,4.884,3.256
002788.SZ_鹭燕医药.csv,4,-0.44%,25.00%,6.94%,-5.75%,2.394,0.599
002790.SZ_瑞尔特.csv,1,2.86%,100.00%,2.86%,2.86%,0.029,0.029
002791.SZ_坚朗五金.csv,10,-0.94%,30.00%,17.52%,-11.79%,1.711,0.513
002792.SZ_通宇通讯.csv,11,5.14%,81.82%,20.57%,-2.06%,5.011,4.1
002793.SZ_罗欣药业.csv,10,-2.39%,30.00%,14.17%,-19.33%,1.353,0.406
002795.SZ_永和智控.csv,10,3.52%,50.00%,30.77%,-10.76%,2.201,1.1
002796.SZ_世嘉科技.csv,6,9.12%,83.33%,29.83%,-3.53%,3.298,2.749
002797.SZ_第一创业.csv,6,-6.29%,50.00%,8.70%,-24.75%,0.306,0.153
002798.SZ_帝欧家居.csv,7,3.29%,71.43%,21.45%,-15.33%,0.844,0.603
002799.SZ_环球印务.csv,8,-2.62%,25.00%,6.45%,-7.77%,0.766,0.192
002800.SZ_天顺股份.csv,6,-0.74%,50.00%,10.03%,-15.55%,0.782,0.391
002801.SZ_微光股份.csv,6,1.21%,50.00%,10.28%,-7.69%,1.582,0.791
002802.SZ_洪汇新材.csv,9,7.28%,66.67%,25.84%,-15.81%,2.05,1.367
002803.SZ_吉宏股份.csv,7,-1.53%,28.57%,10.59%,-9.96%,1.567,0.448
002805.SZ_丰元股份.csv,3,-0.44%,33.33%,11.93%,-10.98%,1.803,0.601
002806.SZ_华锋股份.csv,5,12.11%,100.00%,26.15%,2.93%,0.121,0.121
002807.SZ_江阴银行.csv,1,-1.06%,0.00%,-1.06%,-1.06%,0.0,0.0
002809.SZ_红墙股份.csv,7,2.64%,71.43%,7.32%,-1.65%,3.132,2.237
002810.SZ_山东赫达.csv,8,-6.75%,12.50%,9.61%,-20.65%,1.057,0.132
002811.SZ_郑中设计.csv,7,0.65%,42.86%,21.78%,-11.48%,1.563,0.67
002812.SZ_恩捷股份.csv,9,0.43%,22.22%,26.70%,-8.15%,3.92,0.871
002813.SZ_路畅科技.csv,2,4.77%,50.00%,9.63%,-0.08%,116.504,58.252
002815.SZ_崇达技术.csv,2,-3.02%,0.00%,-2.49%,-3.55%,0.0,0.0
002817.SZ_黄山胶囊.csv,11,0.14%,45.45%,11.50%,-9.15%,1.262,0.574
002818.SZ_富森美.csv,5,1.85%,80.00%,5.38%,-0.23%,10.271,8.216
002819.SZ_东方中科.csv,3,-1.03%,33.33%,4.42%,-6.72%,1.176,0.392
002820.SZ_桂发祥.csv,5,-3.58%,20.00%,0.93%,-12.68%,0.197,0.039
002821.SZ_凯莱英.csv,5,-0.34%,20.00%,10.80%,-4.63%,3.462,0.692
002822.SZ_ST中装.csv,4,8.99%,100.00%,19.41%,2.84%,0.09,0.09
002823.SZ_凯中精密.csv,1,10.30%,100.00%,10.30%,10.30%,0.103,0.103
002824.SZ_和胜股份.csv,2,-1.08%,0.00%,-0.76%,-1.39%,0.0,0.0
002825.SZ_纳尔股份.csv,4,4.26%,100.00%,11.62%,0.88%,0.043,0.043
002826.SZ_易明医药.csv,3,14.70%,100.00%,21.65%,7.59%,0.147,0.147
002827.SZ_高争民爆.csv,0,N/A,N/A,N/A,N/A,,
002828.SZ_贝肯能源.csv,4,-2.86%,25.00%,1.54%,-6.80%,0.357,0.089
002829.SZ_星网宇达.csv,5,6.91%,80.00%,15.66%,-4.44%,2.194,1.756
002830.SZ_名雕股份.csv,4,5.73%,75.00%,20.39%,-9.64%,1.126,0.845
002831.SZ_裕同科技.csv,8,7.58%,100.00%,15.80%,3.54%,0.076,0.076
002832.SZ_比音勒芬.csv,8,2.15%,75.00%,12.97%,-4.38%,1.042,0.781
002833.SZ_弘亚数控.csv,8,0.74%,62.50%,5.21%,-5.09%,0.938,0.586
002835.SZ_同为股份.csv,4,-5.40%,0.00%,-0.82%,-9.34%,0.0,0.0
002836.SZ_新宏泽.csv,3,10.65%,66.67%,24.15%,-0.56%,28.819,19.213
002837.SZ_英维克.csv,7,11.24%,100.00%,32.11%,2.79%,0.112,0.112
002838.SZ_道恩股份.csv,9,1.60%,55.56%,18.01%,-5.22%,1.709,0.949
002839.SZ_张家港行.csv,4,0.14%,75.00%,2.50%,-5.00%,0.37,0.277
002840.SZ_华统股份.csv,6,1.13%,66.67%,12.88%,-5.92%,0.799,0.533
002841.SZ_视源股份.csv,6,-5.18%,0.00%,-1.64%,-14.29%,0.0,0.0
002842.SZ_翔鹭钨业.csv,5,12.38%,100.00%,26.72%,4.26%,0.124,0.124
002843.SZ_泰嘉股份.csv,1,0.52%,100.00%,0.52%,0.52%,0.005,0.005
002845.SZ_同兴达.csv,4,7.70%,100.00%,14.54%,2.06%,0.077,0.077
002846.SZ_英联股份.csv,6,6.36%,50.00%,25.70%,-7.58%,3.142,1.571
002847.SZ_盐津铺子.csv,10,-5.18%,30.00%,1.75%,-13.23%,0.125,0.038
002849.SZ_威星智能.csv,7,7.45%,71.43%,24.70%,-21.48%,1.259,0.899
002850.SZ_科达利.csv,3,10.13%,100.00%,17.95%,1.87%,0.101,0.101
002851.SZ_麦格米特.csv,1,1.01%,100.00%,1.01%,1.01%,0.01,0.01
002852.SZ_道道全.csv,4,8.97%,100.00%,14.43%,1.85%,0.09,0.09
002853.SZ_皮阿诺.csv,7,3.68%,42.86%,34.84%,-10.02%,3.613,1.548
002855.SZ_捷荣技术.csv,1,-3.87%,0.00%,-3.87%,-3.87%,0.0,0.0
002856.SZ_美芝股份.csv,7,2.50%,42.86%,22.73%,-8.37%,3.246,1.391
002857.SZ_三晖电气.csv,4,3.06%,100.00%,5.78%,0.92%,0.031,0.031
002858.SZ_力盛体育.csv,11,2.04%,45.45%,23.56%,-10.10%,1.845,0.839
002859.SZ_洁美科技.csv,4,0.24%,50.00%,8.01%,-7.05%,1.127,0.563
002860.SZ_星帅尔.csv,2,0.97%,50.00%,4.00%,-2.05%,1.953,0.977
002861.SZ_瀛通通讯.csv,3,12.03%,66.67%,23.42%,-1.60%,11.799,7.866
002862.SZ_实丰文化.csv,10,2.86%,60.00%,20.31%,-10.11%,1.526,0.915
002863.SZ_今飞凯达.csv,3,2.08%,33.33%,6.63%,-0.39%,16.87,5.623
002864.SZ_盘龙药业.csv,1,18.18%,100.00%,18.18%,18.18%,0.182,0.182
002865.SZ_钧达股份.csv,5,-6.37%,20.00%,0.75%,-12.65%,0.092,0.018
002866.SZ_传艺科技.csv,8,1.26%,62.50%,14.77%,-16.23%,0.78,0.488
002867.SZ_周大生.csv,2,-5.94%,0.00%,-1.29%,-10.60%,0.0,0.0
002869.SZ_金溢科技.csv,9,9.64%,77.78%,22.85%,-1.80%,9.384,7.299
002870.SZ_香山股份.csv,1,8.18%,100.00%,8.18%,8.18%,0.082,0.082
002871.SZ_伟隆股份.csv,4,2.51%,75.00%,8.50%,-9.81%,0.675,0.506
002872.SZ_ST天圣.csv,14,0.19%,50.00%,11.09%,-8.49%,1.107,0.553
002873.SZ_新天药业.csv,5,-2.98%,20.00%,1.31%,-7.24%,0.322,0.064
002875.SZ_安奈儿.csv,8,4.44%,87.50%,13.61%,-2.80%,1.957,1.712
002876.SZ_三利谱.csv,3,-4.51%,0.00%,-1.46%,-8.11%,0.0,0.0
002877.SZ_智能自控.csv,1,7.16%,100.00%,7.16%,7.16%,0.072,0.072
002878.SZ_元隆雅图.csv,4,4.94%,75.00%,17.93%,-2.29%,3.213,2.41
002879.SZ_长缆科技.csv,6,3.64%,50.00%,17.24%,-19.17%,1.929,0.965
002880.SZ_卫光生物.csv,2,-2.19%,0.00%,-1.50%,-2.87%,0.0,0.0
002881.SZ_美格智能.csv,2,-1.19%,50.00%,0.10%,-2.48%,0.042,0.021
002882.SZ_金龙羽.csv,2,-2.49%,50.00%,3.38%,-8.37%,0.404,0.202
002883.SZ_中设股份.csv,5,3.42%,60.00%,10.24%,-1.47%,4.957,2.974
002884.SZ_凌霄泵业.csv,7,0.07%,57.14%,6.30%,-4.91%,0.788,0.45
002885.SZ_京泉华.csv,1,1.35%,100.00%,1.35%,1.35%,0.013,0.013
002886.SZ_沃特股份.csv,3,0.46%,66.67%,0.89%,0.00%,0.005,0.003
002887.SZ_绿茵生态.csv,3,0.07%,66.67%,1.22%,-1.72%,0.56,0.373
002888.SZ_惠威科技.csv,2,11.33%,50.00%,25.27%,-2.60%,9.712,4.856
002889.SZ_东方嘉盛.csv,6,5.69%,83.33%,15.90%,-0.52%,13.231,11.026
002890.SZ_弘宇股份.csv,7,2.41%,71.43%,19.65%,-17.98%,0.683,0.488
002891.SZ_中宠股份.csv,6,-3.90%,33.33%,4.52%,-11.86%,0.4,0.133
002892.SZ_科力尔.csv,3,0.35%,33.33%,5.64%,-2.30%,2.463,0.821
002893.SZ_京能热力.csv,4,9.92%,50.00%,37.81%,-4.12%,6.247,3.123
002895.SZ_川恒股份.csv,1,2.65%,100.00%,2.65%,2.65%,0.026,0.026
002896.SZ_中大力德.csv,1,-7.06%,0.00%,-7.06%,-7.06%,0.0,0.0
002897.SZ_意华股份.csv,0,N/A,N/A,N/A,N/A,,
002899.SZ_英派斯.csv,5,7.59%,80.00%,28.56%,-6.76%,1.653,1.322
002900.SZ_哈三联.csv,2,8.51%,100.00%,10.51%,6.50%,0.085,0.085
002901.SZ_大博医疗.csv,2,-3.02%,50.00%,0.53%,-6.56%,0.08,0.04
002902.SZ_铭普光磁.csv,1,9.41%,100.00%,9.41%,9.41%,0.094,0.094
002903.SZ_宇环数控.csv,1,3.16%,100.00%,3.16%,3.16%,0.032,0.032
002905.SZ_金逸影视.csv,5,0.81%,40.00%,18.27%,-9.48%,1.789,0.716
002906.SZ_华阳集团.csv,1,13.58%,100.00%,13.58%,13.58%,0.136,0.136
002907.SZ_华森制药.csv,3,1.60%,66.67%,8.91%,-4.86%,0.994,0.663
002908.SZ_德生科技.csv,7,-1.40%,42.86%,6.45%,-6.50%,0.554,0.237
002909.SZ_集泰股份.csv,6,1.78%,50.00%,15.77%,-8.63%,1.768,0.884
002910.SZ_庄园牧场.csv,5,11.13%,80.00%,27.99%,-1.57%,9.095,7.276
002911.SZ_佛燃能源.csv,0,N/A,N/A,N/A,N/A,,
002912.SZ_中新赛克.csv,3,-3.14%,33.33%,1.68%,-8.09%,0.302,0.101
002913.SZ_奥士康.csv,0,N/A,N/A,N/A,N/A,,
002915.SZ_中欣氟材.csv,4,2.92%,75.00%,12.79%,-4.01%,1.303,0.977
002916.SZ_深南电路.csv,6,1.47%,50.00%,9.32%,-4.66%,1.866,0.933
002917.SZ_金奥博.csv,4,0.09%,50.00%,13.27%,-15.69%,1.02,0.51
002918.SZ_蒙娜丽莎.csv,2,-0.70%,50.00%,4.34%,-5.75%,0.755,0.377
002919.SZ_名臣健康.csv,9,-0.94%,33.33%,13.99%,-8.17%,1.394,0.465
002920.SZ_德赛西威.csv,5,3.14%,80.00%,10.38%,-2.20%,2.036,1.629
002921.SZ_联诚精密.csv,5,8.00%,60.00%,34.80%,-8.08%,3.368,2.021
002922.SZ_伊戈尔.csv,2,-20.60%,0.00%,-5.59%,-35.61%,0.0,0.0
002923.SZ_润都股份.csv,1,30.75%,100.00%,30.75%,30.75%,0.308,0.308
002925.SZ_盈趣科技.csv,5,0.62%,40.00%,3.34%,-1.97%,3.015,1.206
002926.SZ_华西证券.csv,3,4.09%,100.00%,6.47%,2.37%,0.041,0.041
002927.SZ_泰永长征.csv,1,-0.80%,0.00%,-0.80%,-0.80%,0.0,0.0
002928.SZ_华夏航空.csv,6,-0.33%,50.00%,7.55%,-11.54%,0.882,0.441
002929.SZ_润建股份.csv,2,-1.02%,50.00%,1.85%,-3.89%,0.476,0.238
002930.SZ_宏川智慧.csv,5,-3.53%,40.00%,4.27%,-10.28%,0.403,0.161
002931.SZ_锋龙股份.csv,1,6.82%,100.00%,6.82%,6.82%,0.068,0.068
002932.SZ_明德生物.csv,3,2.01%,66.67%,20.54%,-15.40%,0.696,0.464
002933.SZ_新兴装备.csv,1,1.63%,100.00%,1.63%,1.63%,0.016,0.016
002935.SZ_天奥电子.csv,1,3.59%,100.00%,3.59%,3.59%,0.036,0.036
002936.SZ_郑州银行.csv,4,-0.81%,50.00%,3.03%,-5.02%,0.522,0.261
002937.SZ_兴瑞科技.csv,4,6.02%,75.00%,16.72%,-3.03%,2.98,2.235
002938.SZ_鹏鼎控股.csv,3,-1.57%,33.33%,0.80%,-4.82%,0.291,0.097
002939.SZ_长城证券.csv,3,3.68%,66.67%,7.05%,-0.52%,11.133,7.422
002940.SZ_昂利康.csv,4,8.42%,100.00%,15.67%,4.34%,0.084,0.084
002941.SZ_新疆交建.csv,1,-0.25%,0.00%,-0.25%,-0.25%,0.0,0.0
002942.SZ_新农股份.csv,5,-0.81%,40.00%,3.60%,-6.16%,0.769,0.308
002943.SZ_宇晶股份.csv,0,N/A,N/A,N/A,N/A,,
002945.SZ_华林证券.csv,0,N/A,N/A,N/A,N/A,,
002946.SZ_新乳业.csv,1,9.64%,100.00%,9.64%,9.64%,0.096,0.096
002947.SZ_恒铭达.csv,4,12.34%,75.00%,17.73%,0.00%,0.123,0.093
002948.SZ_青岛银行.csv,5,-0.09%,80.00%,2.40%,-5.28%,0.228,0.182
002949.SZ_华阳国际.csv,5,8.37%,80.00%,22.88%,-2.70%,4.126,3.301
002950.SZ_奥美医疗.csv,5,6.29%,60.00%,14.47%,-3.91%,4.737,2.842
002951.SZ_金时科技.csv,6,-1.36%,50.00%,2.48%,-4.88%,0.372,0.186
002952.SZ_亚世光电.csv,5,-1.88%,20.00%,7.20%,-6.18%,1.737,0.347
002953.SZ_日丰股份.csv,3,17.75%,66.67%,38.54%,-3.59%,7.915,5.277
002955.SZ_鸿合科技.csv,5,0.32%,60.00%,6.03%,-6.31%,0.826,0.496
002956.SZ_西麦食品.csv,4,-5.88%,25.00%,10.88%,-18.73%,0.948,0.237
002957.SZ_科瑞技术.csv,2,-3.51%,0.00%,-2.10%,-4.92%,0.0,0.0
002958.SZ_青农商行.csv,1,-1.03%,0.00%,-1.03%,-1.03%,0.0,0.0
002959.SZ_小熊电器.csv,3,4.47%,66.67%,8.48%,-0.43%,15.933,10.622
002960.SZ_青鸟消防.csv,4,15.62%,100.00%,19.00%,11.50%,0.156,0.156
002961.SZ_瑞达期货.csv,0,N/A,N/A,N/A,N/A,,
002965.SZ_祥鑫科技.csv,3,-2.75%,33.33%,3.01%,-9.26%,0.534,0.178
002966.SZ_苏州银行.csv,1,1.67%,100.00%,1.67%,1.67%,0.017,0.017
002967.SZ_广电计量.csv,6,-1.26%,33.33%,6.51%,-6.40%,1.019,0.34
002968.SZ_新大正.csv,4,8.79%,75.00%,24.01%,-8.34%,1.737,1.303
002969.SZ_嘉美包装.csv,2,-3.87%,0.00%,-0.38%,-7.36%,0.0,0.0
002970.SZ_锐明技术.csv,2,-0.96%,50.00%,1.80%,-3.72%,0.483,0.241
002971.SZ_和远气体.csv,0,N/A,N/A,N/A,N/A,,
002972.SZ_科安达.csv,2,6.86%,50.00%,16.12%,-2.39%,6.732,3.366
002973.SZ_侨银股份.csv,3,10.11%,100.00%,17.57%,2.86%,0.101,0.101
002975.SZ_博杰股份.csv,5,-2.04%,40.00%,9.28%,-11.72%,0.763,0.305
002976.SZ_瑞玛精密.csv,2,1.45%,50.00%,6.24%,-3.33%,1.872,0.936
002977.SZ_天箭科技.csv,0,N/A,N/A,N/A,N/A,,
002978.SZ_安宁股份.csv,2,5.12%,50.00%,13.37%,-3.14%,4.256,2.128
002979.SZ_雷赛智能.csv,3,5.60%,100.00%,8.40%,1.28%,0.056,0.056
002980.SZ_华盛昌.csv,1,-5.01%,0.00%,-5.01%,-5.01%,0.0,0.0
002981.SZ_朝阳科技.csv,2,-0.36%,50.00%,1.23%,-1.94%,0.635,0.317
002982.SZ_湘佳股份.csv,5,0.12%,60.00%,5.13%,-5.24%,0.737,0.442
002983.SZ_芯瑞达.csv,3,7.74%,66.67%,20.34%,-1.56%,7.965,5.31
002984.SZ_森麒麟.csv,1,0.39%,100.00%,0.39%,0.39%,0.004,0.004
002985.SZ_北摩高科.csv,2,4.34%,50.00%,9.83%,-1.15%,8.551,4.276
002986.SZ_宇新股份.csv,4,2.45%,25.00%,14.95%,-3.72%,8.677,2.169
002987.SZ_京北方.csv,0,N/A,N/A,N/A,N/A,,
002988.SZ_豪美新材.csv,5,-1.90%,40.00%,5.37%,-9.04%,0.72,0.288
002989.SZ_中天精装.csv,0,N/A,N/A,N/A,N/A,,
002990.SZ_盛视科技.csv,2,-2.67%,0.00%,-1.64%,-3.69%,0.0,0.0
002991.SZ_甘源食品.csv,4,0.68%,50.00%,12.51%,-6.19%,1.259,0.629
002992.SZ_宝明科技.csv,8,1.06%,62.50%,13.61%,-8.92%,0.982,0.613
002993.SZ_奥海科技.csv,0,N/A,N/A,N/A,N/A,,
002995.SZ_天地在线.csv,2,-5.33%,0.00%,-4.21%,-6.45%,0.0,0.0
002996.SZ_顺博合金.csv,3,2.36%,33.33%,16.67%,-9.28%,3.472,1.157
002997.SZ_瑞鹄模具.csv,0,N/A,N/A,N/A,N/A,,
002998.SZ_优彩资源.csv,4,5.48%,75.00%,11.98%,-0.46%,16.184,12.138
002999.SZ_天禾股份.csv,0,N/A,N/A,N/A,N/A,,
003000.SZ_劲仔食品.csv,1,6.09%,100.00%,6.09%,6.09%,0.061,0.061
003001.SZ_中岩大地.csv,3,10.67%,100.00%,22.40%,3.29%,0.107,0.107
003002.SZ_壶化股份.csv,1,1.96%,100.00%,1.96%,1.96%,0.02,0.02
003003.SZ_天元股份.csv,2,1.51%,50.00%,5.68%,-2.67%,2.131,1.065
003005.SZ_竞业达.csv,0,N/A,N/A,N/A,N/A,,
003006.SZ_百亚股份.csv,4,-5.38%,0.00%,-0.42%,-10.78%,0.0,0.0
003007.SZ_直真科技.csv,0,N/A,N/A,N/A,N/A,,
003008.SZ_开普检测.csv,4,2.46%,75.00%,10.58%,-3.40%,1.298,0.974
003009.SZ_中天火箭.csv,5,6.53%,80.00%,13.30%,-8.03%,1.267,1.014
003010.SZ_若羽臣.csv,1,0.45%,100.00%,0.45%,0.45%,0.004,0.004
003011.SZ_海象新材.csv,3,1.71%,66.67%,10.40%,-6.20%,0.913,0.608
003012.SZ_东鹏控股.csv,2,-3.93%,50.00%,0.33%,-8.18%,0.04,0.02
003013.SZ_地铁设计.csv,1,-0.19%,0.00%,-0.19%,-0.19%,0.0,0.0
003015.SZ_日久光电.csv,1,6.21%,100.00%,6.21%,6.21%,0.062,0.062
003016.SZ_欣贺股份.csv,2,-4.38%,0.00%,-3.98%,-4.78%,0.0,0.0
003017.SZ_大洋生物.csv,1,10.45%,100.00%,10.45%,10.45%,0.104,0.104
003018.SZ_金富科技.csv,3,8.60%,66.67%,22.54%,-5.30%,2.934,1.956
003019.SZ_宸展光电.csv,4,-1.15%,50.00%,2.15%,-4.53%,0.416,0.208
003020.SZ_立方制药.csv,4,0.49%,25.00%,3.85%,-1.69%,6.111,1.528
003021.SZ_兆威机电.csv,6,-1.98%,50.00%,9.05%,-10.97%,0.563,0.281
003022.SZ_联泓新科.csv,2,0.73%,50.00%,3.03%,-1.56%,1.939,0.97
003023.SZ_彩虹集团.csv,2,-2.03%,0.00%,-1.29%,-2.77%,0.0,0.0
003025.SZ_思进智能.csv,2,-0.62%,50.00%,3.28%,-4.51%,0.726,0.363
003026.SZ_中晶科技.csv,2,8.55%,100.00%,11.95%,5.15%,0.086,0.086
003027.SZ_同兴科技.csv,1,0.45%,100.00%,0.45%,0.45%,0.004,0.004
003028.SZ_振邦智能.csv,1,-9.86%,0.00%,-9.86%,-9.86%,0.0,0.0
003029.SZ_吉大正元.csv,2,7.08%,100.00%,9.92%,4.24%,0.071,0.071
003030.SZ_祖名股份.csv,0,N/A,N/A,N/A,N/A,,
003031.SZ_中瓷电子.csv,2,-0.54%,50.00%,0.43%,-1.50%,0.285,0.142
003033.SZ_征和工业.csv,0,N/A,N/A,N/A,N/A,,
003035.SZ_南网能源.csv,1,-6.98%,0.00%,-6.98%,-6.98%,0.0,0.0
003036.SZ_泰坦股份.csv,6,5.27%,50.00%,27.56%,-6.07%,4.004,2.002
003037.SZ_三和管桩.csv,3,2.75%,66.67%,10.46%,-3.29%,1.754,1.169
003038.SZ_鑫铂股份.csv,1,2.68%,100.00%,2.68%,2.68%,0.027,0.027
003039.SZ_顺控发展.csv,0,N/A,N/A,N/A,N/A,,
003040.SZ_楚天龙.csv,1,4.78%,100.00%,4.78%,4.78%,0.048,0.048
003041.SZ_真爱美家.csv,2,8.45%,100.00%,9.64%,7.26%,0.085,0.085
003042.SZ_中农联合.csv,2,-0.47%,50.00%,2.78%,-3.72%,0.748,0.374
003043.SZ_华亚智能.csv,1,-2.70%,0.00%,-2.70%,-2.70%,0.0,0.0
003816.SZ_中国广核.csv,3,-1.39%,0.00%,-0.56%,-1.82%,0.0,0.0
300001.SZ_特锐德.csv,4,1.71%,75.00%,4.43%,-2.31%,1.323,0.992
300002.SZ_神州泰岳.csv,14,-1.06%,35.71%,20.40%,-17.03%,1.312,0.469
300003.SZ_乐普医疗.csv,8,-0.68%,37.50%,4.59%,-9.20%,1.129,0.423
300004.SZ_南风股份.csv,9,4.85%,44.44%,38.91%,-5.27%,4.653,2.068
300005.SZ_探路者.csv,5,3.43%,100.00%,8.05%,1.28%,0.034,0.034
300006.SZ_莱美药业.csv,12,0.64%,50.00%,10.64%,-5.77%,1.406,0.703
300007.SZ_汉威科技.csv,6,-3.06%,33.33%,5.14%,-23.78%,0.694,0.231
300008.SZ_天海防务.csv,8,-0.49%,50.00%,9.92%,-7.65%,0.791,0.396
300009.SZ_安科生物.csv,6,-1.35%,33.33%,4.76%,-7.52%,0.873,0.291
300010.SZ_豆神教育.csv,8,-2.93%,25.00%,10.84%,-9.14%,1.036,0.259
300011.SZ_鼎汉技术.csv,8,7.70%,75.00%,46.45%,-2.52%,4.628,3.471
300012.SZ_华测检测.csv,16,3.90%,62.50%,14.42%,-7.13%,2.666,1.666
300013.SZ_新宁物流.csv,7,2.44%,42.86%,18.31%,-18.25%,2.071,0.887
300014.SZ_亿纬锂能.csv,14,-0.81%,28.57%,12.53%,-8.52%,1.655,0.473
300015.SZ_爱尔眼科.csv,13,-0.34%,38.46%,5.83%,-7.65%,1.297,0.499
300016.SZ_北陆药业.csv,9,3.59%,66.67%,20.98%,-4.27%,2.12,1.414
300017.SZ_网宿科技.csv,20,-1.74%,40.00%,10.10%,-13.43%,0.711,0.284
300018.SZ_中元股份.csv,7,7.72%,57.14%,57.52%,-9.44%,4.132,2.361
300019.SZ_硅宝科技.csv,3,2.60%,66.67%,13.50%,-9.82%,0.897,0.598
300020.SZ_ST银江.csv,7,-0.02%,42.86%,9.73%,-7.60%,1.326,0.568
300021.SZ_大禹节水.csv,8,3.74%,75.00%,8.75%,-2.53%,2.711,2.033
300022.SZ_吉峰科技.csv,5,2.48%,40.00%,22.02%,-9.22%,2.973,1.189
300024.SZ_机器人.csv,13,0.83%,46.15%,6.17%,-2.78%,2.533,1.169
300025.SZ_华星创业.csv,15,0.94%,53.33%,12.82%,-7.22%,1.339,0.714
300026.SZ_红日药业.csv,6,-1.76%,33.33%,2.15%,-9.09%,0.465,0.155
300027.SZ_华谊兄弟.csv,8,-7.41%,0.00%,-0.46%,-17.73%,0.0,0.0
300030.SZ_阳普医疗.csv,8,1.94%,50.00%,10.71%,-6.55%,2.096,1.048
300031.SZ_宝通科技.csv,8,1.89%,62.50%,12.67%,-6.63%,1.274,0.796
300032.SZ_金龙机电.csv,8,-4.97%,12.50%,15.25%,-15.56%,1.94,0.243
300033.SZ_同花顺.csv,15,4.68%,73.33%,24.67%,-6.02%,2.4,1.76
300034.SZ_钢研高纳.csv,7,8.91%,71.43%,46.40%,-2.18%,10.457,7.469
300035.SZ_中科电气.csv,12,-0.21%,41.67%,6.31%,-5.99%,1.204,0.502
300036.SZ_超图软件.csv,9,2.62%,66.67%,8.53%,-1.26%,5.339,3.559
300037.SZ_新宙邦.csv,13,1.47%,61.54%,36.63%,-10.79%,0.928,0.571
300039.SZ_上海凯宝.csv,9,6.37%,77.78%,45.79%,-6.27%,1.941,1.51
300040.SZ_九洲集团.csv,0,N/A,N/A,N/A,N/A,,
300041.SZ_回天新材.csv,8,5.72%,100.00%,13.81%,0.36%,0.057,0.057
300042.SZ_朗科科技.csv,10,6.52%,90.00%,22.77%,-10.04%,0.833,0.749
300043.SZ_星辉娱乐.csv,11,5.26%,54.55%,24.65%,-8.52%,2.653,1.447
300044.SZ_ST赛为.csv,12,2.24%,41.67%,18.57%,-8.71%,2.408,1.003
300045.SZ_华力创通.csv,6,1.11%,50.00%,5.53%,-1.86%,2.422,1.211
300046.SZ_台基股份.csv,4,8.77%,50.00%,40.30%,-3.15%,7.342,3.671
300047.SZ_天源迪科.csv,8,2.07%,87.50%,6.20%,-7.00%,0.481,0.421
300048.SZ_合康新能.csv,13,2.24%,69.23%,10.56%,-9.19%,1.152,0.797
300049.SZ_福瑞股份.csv,9,10.87%,88.89%,47.18%,-5.45%,2.368,2.105
300050.SZ_世纪鼎利.csv,8,6.53%,37.50%,47.19%,-3.79%,10.828,4.06
300051.SZ_琏升科技.csv,5,3.52%,80.00%,7.81%,-0.28%,15.862,12.689
300052.SZ_ST中青宝.csv,0,N/A,N/A,N/A,N/A,,
300053.SZ_航宇微.csv,5,5.37%,100.00%,10.29%,0.44%,0.054,0.054
300054.SZ_鼎龙股份.csv,8,1.46%,62.50%,10.41%,-6.32%,1.341,0.838
300055.SZ_万邦达.csv,10,-5.24%,20.00%,3.46%,-18.06%,0.281,0.056
300056.SZ_中创环保.csv,15,3.35%,66.67%,19.42%,-7.02%,2.005,1.337
300057.SZ_万顺新材.csv,4,-7.17%,0.00%,-0.69%,-18.74%,0.0,0.0
300058.SZ_蓝色光标.csv,7,2.17%,57.14%,7.44%,-3.23%,2.521,1.44
300059.SZ_东方财富.csv,14,-2.08%,42.86%,9.82%,-17.58%,0.543,0.233
300061.SZ_旗天科技.csv,8,5.82%,62.50%,52.25%,-9.20%,2.049,1.281
300062.SZ_中能电气.csv,8,-0.85%,37.50%,8.92%,-11.93%,1.005,0.377
300063.SZ_天龙集团.csv,4,3.02%,75.00%,7.56%,-8.44%,0.811,0.608
300065.SZ_海兰信.csv,12,9.74%,83.33%,34.96%,-6.54%,3.13,2.608
300066.SZ_三川智慧.csv,3,-10.88%,33.33%,4.20%,-31.52%,0.228,0.076
300067.SZ_安诺其.csv,3,-1.50%,66.67%,1.76%,-6.74%,0.166,0.111
300068.SZ_南都电源.csv,4,1.37%,50.00%,6.36%,-1.81%,2.011,1.005
300069.SZ_金利华电.csv,13,1.22%,61.54%,8.93%,-9.86%,0.965,0.594
300070.SZ_碧水源.csv,11,2.02%,72.73%,13.55%,-7.78%,0.929,0.676
300071.SZ_福石控股.csv,13,2.91%,53.85%,22.67%,-14.07%,1.445,0.778
300072.SZ_海新能科.csv,16,0.28%,56.25%,7.58%,-26.08%,0.877,0.493
